ID,Line,CMP,Freq,AmpKurt,AmpSlp,CIP,CndWtFreq,CompAbs,DomPowS,IDomFreq,InfoEntr,MaxPkAmp,RelQ,RespBand,SValue
16,665,1232,28.0552,54142.3,-0.0132735,-0.0113777,26.9818,35139.9,29,26.7548,253.617,18458.1,6.40213,2.69825,20.375
17,665,1233,28.2016,53550.7,-0.0142515,-0.0192727,26.7148,35137.5,29,26.6384,253.288,18579.3,6.16069,2.95583,20.375
18,665,1234,27.4468,54613.7,-0.0140332,0.00459733,26.3835,35405.5,23,26.5869,254.359,18685.7,6.00492,3.06378,20.375
19,676,1323,26.6938,32434.7,-0.0150874,0.015977,28.2432,22976.4,27,28.2894,221.021,12186.6,5.67712,3.76553,16.625
20,676,1324,27.5128,30573,-0.0173649,-0.0237815,29.6288,23774.3,27,27.9327,215.265,12814.4,5.44518,4.25565,16.625
21,676,1325,26.757,31523.7,-0.0172345,-0.020999,29.034,23796.3,27,28.0618,222.334,13102.2,5.33283,4.14813,16.625
22,677,1323,26.6422,31385.2,-0.014902,0.0228059,28.1969,23156.3,27,28.4622,220.226,12382.1,5.57866,3.92577,16.625
23,677,1324,27.7463,30315.3,-0.0160965,-0.00713471,29.8524,24463.5,28,28.3158,213.819,13178.8,5.54676,4.13627,16.625
24,677,1325,26.6524,33652.2,-0.0164892,-0.0165106,28.3292,24692.2,27,28.3018,222.397,13407.3,5.46825,3.92828,16.625
25,678,1323,27.9063,30970.2,-0.0143266,0.0108992,30.8697,23514,27,28.8551,214.755,12584.6,5.85043,3.74758,16.625
26,678,1324,27.6801,28507.5,-0.0157093,0.012751,29.5453,23384.9,28,28.8685,213.238,12684.5,5.53539,4.20383,16.625
27,678,1325,26.9277,32068.9,-0.0154441,-0.00224582,29.3552,24247.1,27,28.5855,200.199,13024.4,5.62774,3.86489,16.625
28,699,1204,29.7136,51308.8,-0.0147702,-0.00160958,28.3415,34478.9,31,28.0227,242.466,18131.5,5.93674,3.2764,17
29,699,1205,29.644,51040.2,-0.0147556,-0.014605,28.1343,33867.4,31,27.7065,243.644,17609.1,6.03392,3.27912,17
30,699,1206,29.8356,49700.4,-0.0157304,-0.00932278,28.0263,34003.2,31,27.7914,242.037,17957.9,5.82542,3.46275,17
31,700,1204,29.3227,49231.8,-0.0150434,-0.0112449,27.7015,33241.4,30,27.8206,242.209,17665.1,5.73815,3.35269,17
32,700,1205,29.5306,47257.1,-0.0151491,-0.0112452,27.9626,32170.9,31,27.7465,240.887,17093.2,5.82089,3.29295,17
33,700,1206,30.0529,47773.2,-0.0157908,-0.0102941,28.1855,33550,31,27.7366,241.084,18109.2,5.5878,3.49518,17
34,701,1204,29.3811,46409.8,-0.0150594,-0.0119552,28.3541,30998.7,30,27.8113,239.754,16556.1,5.64084,3.38518,17
35,701,1205,29.2611,46059.1,-0.0153974,-0.0124229,27.2224,31538,30,27.7513,239.243,16927.8,5.63138,3.38692,17
36,701,1206,29.6311,45221.7,-0.0155641,-0.014993,27.8658,31365.9,31,27.611,236.798,16906.9,5.59484,3.4065,17
37,702,1284,28.7708,38959.9,-0.0167407,-0.00576818,28.9136,28030.1,25,27.1372,235.32,15864.4,4.59526,3.95286,21.25
38,702,1285,25.5693,40210,-0.0162726,-0.0148917,26.6824,28826.6,26,26.9164,240.92,16188,4.7802,3.72303,21.25
39,702,1286,25.9524,39293,-0.0162077,-0.0292246,28.1055,28764.8,26,26.5963,240.172,15974.7,4.94049,3.63455,21.25
40,703,1284,33.2053,39645.5,-0.0161702,-0.0124135,30.7275,27756,34,27.0891,240.652,15589.4,4.86815,3.78042,21.25
41,703,1285,25.678,40714.3,-0.0155514,-0.0180673,27.6496,28422.3,25,26.956,244.631,15940.6,4.97151,3.51791,21.25
42,703,1286,24.6002,40422.4,-0.0162499,-0.0246194,25.859,29114.5,25,26.7448,245.302,16475.8,4.62109,3.68086,21.25
43,704,1284,25.6394,38634.3,-0.0164382,-0.0138462,27.1442,28184.6,26,27.0817,230.344,15809.3,4.71441,3.80475,21.25
44,704,1285,29.6626,41816.2,-0.0152712,0.00973774,28.5075,28424.6,25,27.0903,238.273,16042.1,4.71909,3.73958,21.25
45,704,1286,24.5811,41839.2,-0.0153801,-0.0122188,25.7335,29232.5,25,27.1348,247.072,16559.2,4.75632,3.53763,21.25
46,709,1323,27.3828,19420.6,-0.015483,-0.03943,28.2051,17585.5,28,25.7795,219.431,10679,4.39421,4.78853,30.875
47,709,1324,26.902,17488.8,-0.0132753,-0.00409531,28.8022,17111.6,27,25.6218,224.969,9964.57,4.90963,4.21284,30.875
48,709,1325,28.4546,17026.7,-0.0141833,-0.0188038,29.9676,16839.1,28,25.3421,228.386,9717.21,4.58703,4.67099,30.875
49,710,1323,27.6852,16577.1,-0.0136275,-0.0230325,28.6082,16677.3,28,25.6144,211.129,10127.9,4.51081,4.42073,30.875
50,710,1324,27.7874,17413.5,-0.0133289,0.0057867,29.5729,17220.1,28,25.7697,229.563,10183.2,4.81263,4.19506,30.875
51,710,1325,27.503,16406.3,-0.013664,-0.00220424,29.9277,16733.7,27,25.5664,222.888,9759.57,4.60563,4.4652,30.875
52,711,1323,27.3331,16125,-0.0131566,-0.0315287,28.9817,16621.6,27,25.3924,219.562,9999.46,4.71167,4.22035,30.875
53,711,1324,27.7367,16127.5,-0.0127414,-0.00180197,29.1039,16806.7,28,25.7599,229.351,9965.26,4.95397,4.11132,30.875
54,711,1325,26.549,16596.5,-0.0125223,0.0585552,28.7474,16300.5,26,26.3493,229.677,9799.23,3.90848,4.886,30.875
55,727,1046,28.5307,40507.6,-0.0115651,-0.0274133,28.9438,25455,29,27.719,235.673,12564.6,6.69647,2.65152,6.375
56,727,1047,28.4763,37636.2,-0.00909108,-0.0111739,28.6949,23208.1,29,28.001,234.874,11100.1,6.83765,2.71175,6.375
57,727,1048,27.5347,38349.5,-0.00719281,0.0193163,28.0828,23430,28,27.9883,238.195,10959.1,6.4189,2.85601,6.375
58,728,1046,28.4867,38780.3,-0.0116284,-0.0256942,28.7703,24106.9,29,27.8959,233.934,11982.5,6.79129,2.58202,6.375
59,728,1047,27.7625,38018.1,-0.00913808,0.0156077,28.1369,23056.5,28,28.0252,230.788,11179.3,6.98489,2.63299,6.375
60,728,1048,28.5022,37112.7,-0.00816397,-0.00347764,28.9212,23035.9,29,28.1423,232.169,10915.1,6.88137,2.68286,6.375
61,729,1046,28.3998,38096.3,-0.0105827,-0.0208647,28.5598,23244.9,29,28.0712,234.001,11452.2,6.92071,2.58952,6.375
62,729,1047,29.0461,38386.9,-0.00984289,-0.0117895,28.9436,23922.6,30,28.1194,230.329,11646.1,7.06748,2.53651,6.375
63,729,1048,28.4914,37635.4,-0.0077656,0.00173823,28.9749,23064.8,29,28.2947,233.713,11021.1,7.30318,2.47704,6.375
64,734,1316,28.3014,30177.1,-0.0150544,-0.0498356,26.8237,20362.9,29,26.6326,228.266,10991,5.42185,3.25395,28.25
65,734,1317,28.4173,28382.7,-0.0142145,-0.0202086,26.9089,19955.5,29,27.2758,229.13,10794.9,5.55637,3.20558,28.25
66,734,1318,28.3682,29880.8,-0.0140875,-0.0345,27.3506,20585.9,29,26.9537,230.355,11143.6,5.44548,3.06294,28.25
67,735,1316,28.5795,29659.4,-0.0150196,-0.0398217,26.9882,20545.3,30,26.881,221.771,11236.1,5.33431,3.34077,28.25
68,735,1317,28.8676,26747,-0.0144065,-0.0142687,26.8337,19662.6,30,27.4122,228.675,10943.5,5.23659,3.35622,28.25
69,735,1318,28.6915,28330,-0.0127422,-0.0319273,27.6919,19677.6,30,26.9792,229.872,10587.2,5.8882,2.64056,28.25
70,736,1316,28.8062,26279.2,-0.0159186,-0.0497841,26.8461,18967.6,30,26.6149,228.744,10483.7,5.13555,3.73008,28.25
71,736,1317,29.0372,27446.7,-0.01518,-0.0364335,27.293,19935.4,30,26.8914,219.927,11041.2,5.18455,3.4576,28.25
72,736,1318,28.2521,27709.8,-0.0130097,-0.0458613,27.0264,19278.1,29,26.6387,228.18,10336.6,5.93186,2.66769,28.25
73,772,1325,26.975,27896.1,-0.0145795,-0.00156444,28.2735,20153,27,26.7673,225.663,11030.6,5.07337,3.23127,18.125
74,772,1326,26.6384,27884.8,-0.0155594,-0.00452014,27.7957,20226.7,27,26.8701,218.346,11144.4,4.75104,3.60701,18.125
75,772,1327,26.7773,28169.4,-0.0150604,-0.00595057,28.8484,19878.5,27,26.8978,228.154,10852.3,5.11333,3.41913,18.125
76,773,1325,27.4493,27580.7,-0.0154308,-0.0148877,28.0458,20011,28,26.5601,226.692,11048.5,4.78354,3.55141,18.125
77,773,1326,26.6396,27079.2,-0.0157942,-0.0204457,28.031,20010.5,27,26.6869,225.385,10925.1,4.64768,3.93228,18.125
78,773,1327,26.5677,25068.8,-0.0151835,-0.0192698,27.5377,18813.8,27,26.7566,225.109,10299.9,4.82875,3.76898,18.125
79,774,1325,26.5713,27495.2,-0.0154666,-0.015727,28.1861,19989.6,27,26.5463,226.409,11012.9,4.72953,3.58428,18.125
80,774,1326,26.6405,25099,-0.0141989,-0.0276172,28.0769,19804.5,27,26.5015,227.109,10835.7,4.71961,3.67396,18.125
81,774,1327,26.5792,23167.8,-0.0152504,-0.0209071,27.4734,18266.7,27,26.8632,222.853,10174.9,4.57994,3.96001,18.125
82,793,1296,25.5395,33920.8,-0.0135449,0.000775115,25.4686,24334.2,23,25.8502,251.477,13835.7,4.86786,3.16544,14.5
83,793,1297,25.4403,34030.5,-0.0147575,-0.00609573,25.8263,24731.4,25,25.6641,249.531,14225.5,4.3618,3.49455,14.5
84,793,1298,25.4286,30641.1,-0.0144112,-0.0018538,25.8417,23715.3,24,25.6959,247.22,13770.2,4.0262,3.53847,14.5
85,794,1296,26.238,34223,-0.0130865,-0.00154863,25.5476,24356.6,27,25.7445,251.264,13759.4,5.16383,3.03315,14.5
86,794,1297,26.2283,33912.5,-0.0140585,-0.00499412,25.7271,24296.5,27,25.6428,250.108,13789.2,4.89444,3.26596,14.5
87,794,1298,25.8336,30973.6,-0.0132874,0.00123847,25.842,23764.6,27,25.6468,247.29,13711.8,4.42698,3.16982,14.5
88,795,1296,26.1631,32381.6,-0.0123067,0.014574,25.4667,23329.8,27,26.0753,251.315,13270.9,5.20841,2.86931,14.5
89,795,1297,26.1271,31922.7,-0.0133162,-0.000269887,25.77,23257.1,27,25.7243,249.633,13190,4.9931,3.05191,14.5
